                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3898,                 9.4826,                 1.7301,                0.07045,                0.33536,                0.05223,                0.02936,                 1.9357,                 4.9124,                 1.2118,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 2.3733,                 7.3143,                  1.798,                0.11022,                0.30229,                0.06575,                 0.0307,                 1.8121,                 5.2014,                 1.1614,             2.4743e-05,             2.4743e-05,             2.4743e-05
                      3,                 2.2573,                 5.4551,                 1.7064,                0.20536,                0.05196,                0.12079,                0.06956,                  1.568,                  6.615,                 1.0774,             4.0825e-05,             4.0825e-05,             4.0825e-05
                      4,                 1.9063,                 4.5088,                 1.4995,                0.30797,                 0.2193,                0.24612,                0.18657,                 1.2612,                 10.419,                0.98497,             5.6578e-05,             5.6578e-05,             5.6578e-05
                      5,                   1.99,                 4.3256,                  1.585,                0.36397,                0.29485,                0.30583,                 0.2318,                 1.1099,                 14.192,                 0.9305,             7.2001e-05,             7.2001e-05,             7.2001e-05
                      6,                 1.5725,                 3.2822,                 1.2167,                0.64503,                0.34987,                0.37691,                0.27495,                  1.039,                 16.241,                0.91523,             8.7094e-05,             8.7094e-05,             8.7094e-05
                      7,                 1.6296,                 3.2815,                 1.2136,                0.64964,                0.39293,                0.41139,                0.31236,                 1.0551,                 12.303,                0.92595,             0.00010186,             0.00010186,             0.00010186
                      8,                 1.6592,                 2.7688,                 1.3545,                0.66036,                0.39428,                0.41465,                0.30692,                 1.0954,                 8.2969,                0.94852,             0.00011629,             0.00011629,             0.00011629
                      9,                 1.6878,                 3.1555,                 1.2933,                 0.6628,                0.34914,                 0.4255,                0.30723,                 1.1229,                 6.5592,                0.95626,             0.00013039,             0.00013039,             0.00013039
                     10,                  1.726,                 2.7661,                  1.339,                0.90722,                0.33021,                0.39356,                0.28022,                 1.1372,                 5.7916,                0.96045,             0.00014417,             0.00014417,             0.00014417
                     11,                 1.5679,                 2.4393,                 1.2515,                0.86952,                0.36404,                0.36824,                0.27183,                 1.1338,                 5.2963,                0.96936,             0.00015761,             0.00015761,             0.00015761
                     12,                 1.4848,                 2.3765,                 1.2752,                0.86952,                0.36404,                0.36824,                0.27183,                 1.1338,                 5.2963,                0.96936,             0.00017073,             0.00017073,             0.00017073
                     13,                 1.5582,                 2.3998,                 1.2986,                0.28675,                0.72368,                0.47537,                0.36652,                 1.0942,                 4.6501,                0.96573,             0.00018351,             0.00018351,             0.00018351
                     14,                 1.5416,                 2.3762,                  1.296,                0.73762,                0.64272,                0.65983,                0.51515,                 1.1502,                 4.5304,                0.98113,             0.00019596,             0.00019596,             0.00019596
                     15,                 1.5404,                 2.3097,                 1.3717,                0.73762,                0.64272,                0.65983,                0.51515,                 1.1502,                 4.5304,                0.98113,             0.00020809,             0.00020809,             0.00020809
                     16,                 1.4379,                 2.2813,                 1.1955,                0.80512,                0.54838,                0.62375,                0.48937,                 1.1946,                 4.4512,                0.99677,             0.00021988,             0.00021988,             0.00021988
                     17,                 1.2914,                 2.3028,                 1.1233,                0.82471,                0.63089,                0.70117,                0.55045,                 1.1179,                 3.4798,                0.97398,             0.00023135,             0.00023135,             0.00023135
