                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2009,                 1.1916,                 1.0255,                0.84669,                0.38617,                0.38836,                0.20714,                 1.6154,                 2.0165,                0.95938,             0.00049733,             0.00049733,             0.00049733
                     35,                 1.3679,                 1.6504,                 1.0658,                0.86879,                0.39313,                0.42711,                0.22535,                 1.5236,                 1.4247,                0.94774,             0.00051028,             0.00051028,             0.00051028
                     36,                  1.314,                 1.2466,                 1.2374,                0.85355,                0.42587,                0.40673,                0.22711,                 1.5028,                 1.4653,                0.94746,             0.00052312,             0.00052312,             0.00052312
                     37,                 1.2689,                  1.439,                 1.4217,                0.85355,                0.42587,                0.40673,                0.22711,                 1.5028,                 1.4653,                0.94746,             0.00053585,             0.00053585,             0.00053585
                     38,                 1.6607,                 1.8553,                 1.4717,                0.84428,                0.41844,                0.37534,                 0.2059,                 1.5402,                 1.9975,                 0.9524,             0.00054847,             0.00054847,             0.00054847
                     39,                 1.3075,                 1.1984,                 1.0621,                0.78725,                0.40992,                0.34931,                0.18177,                 1.6415,                  1.722,                0.98093,             0.00056098,             0.00056098,             0.00056098
                     40,                  1.438,                 1.3001,                 1.0561,                0.78725,                0.40992,                0.34931,                0.18177,                 1.6415,                  1.722,                0.98093,             0.00057338,             0.00057338,             0.00057338
                     41,                 1.4385,                 1.3085,                 1.2866,                0.84617,                 0.3852,                0.38176,                0.20632,                 1.6417,                 1.3904,                0.99547,             0.00058567,             0.00058567,             0.00058567
                     42,                 1.5808,                 1.4986,                 1.5382,                0.87577,                0.39471,                0.39205,                0.23394,                 1.4422,                 1.3061,                  0.944,             0.00059784,             0.00059784,             0.00059784
                     43,                 1.2929,                 1.2341,                 1.3498,                0.87577,                0.39471,                0.39205,                0.23394,                 1.4422,                 1.3061,                  0.944,             0.00060991,             0.00060991,             0.00060991
                     44,                 1.2217,                 1.7772,                 1.1451,                0.88343,                0.41672,                0.40822,                0.24798,                 1.4026,                 1.2657,                0.92549,             0.00062187,             0.00062187,             0.00062187
                     45,                  1.314,                 1.1459,                 1.2826,                0.88343,                0.41672,                0.40822,                0.24798,                 1.4026,                 1.2657,                0.92549,             0.00063372,             0.00063372,             0.00063372
                     46,                 1.3177,                 1.2991,                 1.0577,                0.90671,                0.42016,                0.42295,                0.23173,                 1.5208,                 1.1688,                0.96104,             0.00064546,             0.00064546,             0.00064546
                     47,                 1.5132,                   1.28,                 1.5362,                0.90671,                0.42016,                0.42295,                0.23173,                 1.5208,                 1.1688,                0.96104,             0.00065709,             0.00065709,             0.00065709
                     48,                  1.194,                 1.0623,                 1.2141,                0.88571,                0.41564,                0.41027,                0.23023,                 1.5264,                 1.2551,                0.96386,             0.00066861,             0.00066861,             0.00066861
                     49,                 1.2035,                 1.5946,                 1.1321,                0.88571,                0.41564,                0.41027,                0.23023,                 1.5264,                 1.2551,                0.96386,             0.00068002,             0.00068002,             0.00068002
                     50,                 1.2056,                 1.0081,                 1.1415,                0.88153,                0.40472,                0.39871,                0.22471,                 1.5378,                 1.3417,                0.97996,             0.00069132,             0.00069132,             0.00069132
                     51,                  1.327,                  1.237,                 1.0837,                0.88153,                0.40472,                0.39871,                0.22471,                 1.5378,                 1.3417,                0.97996,             0.00069556,             0.00069556,             0.00069556
                     52,                 1.2296,                 1.1247,                 1.0508,                0.79739,                0.37182,                 0.3375,                0.20339,                 1.5236,                 1.5069,                0.97392,             0.00069281,             0.00069281,             0.00069281
                     53,                 1.2886,                 1.1657,                 1.0886,                0.79739,                0.37182,                 0.3375,                0.20339,                 1.5236,                 1.5069,                0.97392,             0.00069006,             0.00069006,             0.00069006
                     54,                 1.1377,                 1.3007,                0.95901,                0.77508,                0.32051,                 0.3101,                0.19058,                 1.5368,                 1.4683,                0.97108,             0.00068731,             0.00068731,             0.00068731
                     55,                 1.2666,                 1.1235,                 1.3727,                0.77508,                0.32051,                 0.3101,                0.19058,                 1.5368,                 1.4683,                0.97108,             0.00068456,             0.00068456,             0.00068456
                     56,                 1.4943,                 1.6479,                 1.5365,                0.82666,                0.33333,                0.36356,                0.22012,                 1.4906,                 1.3101,                0.96193,             0.00068181,             0.00068181,             0.00068181
                     57,                 1.2153,                0.97607,                 1.0039,                0.82666,                0.33333,                0.36356,                0.22012,                 1.4906,                 1.3101,                0.96193,             0.00067906,             0.00067906,             0.00067906
                     58,                 1.2087,                 1.1721,                 1.0883,                0.89533,                 0.3522,                0.41685,                0.24978,                   1.41,                 1.1709,                0.93102,             0.00067631,             0.00067631,             0.00067631
                     59,                 1.4648,                 1.5507,                 1.1069,                0.89533,                 0.3522,                0.41685,                0.24978,                   1.41,                 1.1709,                0.93102,             0.00067356,             0.00067356,             0.00067356
                     60,                 1.3103,                 1.1412,                 1.2495,                 0.9147,                0.38116,                0.45413,                0.29025,                 1.2535,                 1.0541,                0.89129,             0.00067081,             0.00067081,             0.00067081
                     61,                 1.1674,                 1.0332,                 1.2212,                 0.9147,                0.38116,                0.45413,                0.29025,                 1.2535,                 1.0541,                0.89129,             0.00066807,             0.00066807,             0.00066807
                     62,                 1.1888,                 1.1382,                 1.1216,                0.89189,                 0.3933,                0.45346,                 0.2833,                 1.2991,                 1.1025,                0.90445,             0.00066532,             0.00066532,             0.00066532
                     63,                 1.2439,                 1.2321,                  1.286,                0.89189,                 0.3933,                0.45346,                 0.2833,                 1.2991,                 1.1025,                0.90445,             0.00066257,             0.00066257,             0.00066257
                     64,                 1.1681,                 1.1585,                 1.2698,                0.63546,                0.39371,                0.45531,                0.27947,                 1.2821,                 1.0954,                0.90478,             0.00065982,             0.00065982,             0.00065982
                     65,                 1.4065,                 1.2143,                 1.2007,                0.63546,                0.39371,                0.45531,                0.27947,                 1.2821,                 1.0954,                0.90478,             0.00065707,             0.00065707,             0.00065707
                     66,                  1.209,                0.99745,                 1.1835,                 0.6708,                0.36538,                0.44383,                0.27778,                 1.2628,                 1.1244,                0.91219,             0.00065432,             0.00065432,             0.00065432
                     67,                 1.3471,                 1.1067,                 1.0494,                 0.6708,                0.36538,                0.44383,                0.27778,                 1.2628,                 1.1244,                0.91219,             0.00065157,             0.00065157,             0.00065157
                     68,                 1.1207,                0.97124,                 1.0249,                0.69182,                0.41026,                 0.4702,                0.28438,                 1.4312,                 1.0872,                0.94878,             0.00064882,             0.00064882,             0.00064882
                     69,                 1.2413,                 1.0218,                 1.1506,                0.69182,                0.41026,                 0.4702,                0.28438,                 1.4312,                 1.0872,                0.94878,             0.00064607,             0.00064607,             0.00064607
                     70,                 1.0398,                0.95656,                 1.0443,                0.92349,                0.40728,                0.47244,                0.27128,                 1.4759,                 1.0118,                0.95832,             0.00064333,             0.00064333,             0.00064333
                     71,                 1.2597,                 1.1905,                 1.2418,                0.92349,                0.40728,                0.47244,                0.27128,                 1.4759,                 1.0118,                0.95832,             0.00064058,             0.00064058,             0.00064058
                     72,                 1.0889,                 1.0726,                 1.1572,                 0.9116,                0.41237,                0.43717,                0.26888,                 1.2753,                 1.0369,                0.91185,             0.00063783,             0.00063783,             0.00063783
                     73,                 1.1084,                  1.073,                 1.1841,                 0.9116,                0.41237,                0.43717,                0.26888,                 1.2753,                 1.0369,                0.91185,             0.00063508,             0.00063508,             0.00063508
                     74,                 1.1471,                 1.1837,                 1.4127,                0.88922,                0.36538,                0.40743,                0.25496,                 1.2584,                  1.056,                0.89809,             0.00063233,             0.00063233,             0.00063233
                     75,                  1.298,                 1.0999,                 1.0969,                0.88922,                0.36538,                0.40743,                0.25496,                 1.2584,                  1.056,                0.89809,             0.00062958,             0.00062958,             0.00062958
                     76,                 1.1742,                 1.0314,                   1.24,                0.91379,                0.36155,                0.41964,                0.26554,                  1.274,                 1.0091,                 0.8989,             0.00062683,             0.00062683,             0.00062683
                     77,                  1.215,                0.97851,                 1.1892,                0.91379,                0.36155,                0.41964,                0.26554,                  1.274,                 1.0091,                 0.8989,             0.00062408,             0.00062408,             0.00062408
                     78,                 1.0815,                0.96816,                 1.0073,                0.90876,                0.41667,                0.45395,                0.26725,                 1.4003,                0.95675,                0.94051,             0.00062133,             0.00062133,             0.00062133
                     79,                 1.1566,                0.98431,                0.98821,                0.90876,                0.41667,                0.45395,                0.26725,                 1.4003,                0.95675,                0.94051,             0.00061859,             0.00061859,             0.00061859
                     80,                 1.0804,                0.91249,                 1.1232,                0.92437,                 0.4172,                0.48326,                0.28522,                 1.3922,                0.93082,                0.94596,             0.00061584,             0.00061584,             0.00061584
                     81,                 1.2332,                 1.3351,                 1.3052,                0.92437,                 0.4172,                0.48326,                0.28522,                 1.3922,                0.93082,                0.94596,             0.00061309,             0.00061309,             0.00061309
                     82,                 1.2581,                0.98919,                 1.2412,                0.90395,                 0.4254,                 0.5196,                0.32141,                 1.2542,                0.90736,                0.91001,             0.00061034,             0.00061034,             0.00061034
                     83,                  1.177,                 1.2784,                   1.15,                0.90395,                 0.4254,                 0.5196,                0.32141,                 1.2542,                0.90736,                0.91001,             0.00060759,             0.00060759,             0.00060759
                     84,                  1.051,                 1.1484,                 1.2305,                 0.9271,                0.43495,                0.52992,                 0.3373,                  1.249,                0.87673,                0.91097,             0.00060484,             0.00060484,             0.00060484
                     85,                  1.154,                 1.0981,                 1.3457,                 0.9271,                0.43495,                0.52992,                 0.3373,                  1.249,                0.87673,                0.91097,             0.00060209,             0.00060209,             0.00060209
                     86,                 1.2238,                 1.1001,                 1.2409,                0.91717,                 0.4359,                  0.529,                0.32729,                 1.3415,                0.87041,                 0.9272,             0.00059934,             0.00059934,             0.00059934
                     87,                 1.1232,                0.95403,                0.99226,                0.91717,                 0.4359,                  0.529,                0.32729,                 1.3415,                0.87041,                 0.9272,             0.00059659,             0.00059659,             0.00059659
                     88,                  1.367,                 1.3283,                  1.273,                0.94536,                0.42949,                0.49576,                0.29083,                 1.3864,                0.85232,                0.93252,             0.00059385,             0.00059385,             0.00059385
                     89,                 1.1089,                0.95862,                 1.1004,                0.94536,                0.42949,                0.49576,                0.29083,                 1.3864,                0.85232,                0.93252,              0.0005911,              0.0005911,              0.0005911
                     90,                 1.4759,                 1.2646,                 1.4642,                0.95246,                0.42308,                0.49899,                0.27838,                 1.3969,                 0.8442,                0.92721,             0.00058835,             0.00058835,             0.00058835
                     91,                 1.1822,                0.91931,                 1.0714,                0.95246,                0.42308,                0.49899,                0.27838,                 1.3969,                 0.8442,                0.92721,              0.0005856,              0.0005856,              0.0005856
                     92,                 1.1372,                0.92487,                 1.1309,                0.68938,                 0.4359,                0.52904,                0.30947,                 1.3593,                0.82208,                0.92067,             0.00058285,             0.00058285,             0.00058285
                     93,                  1.161,                0.97414,                 1.0625,                0.68938,                 0.4359,                0.52904,                0.30947,                 1.3593,                0.82208,                0.92067,              0.0005801,              0.0005801,              0.0005801
                     94,                 1.1961,                 1.1878,                 1.2874,                0.68056,                0.44231,                0.53992,                0.33448,                 1.3669,                0.78122,                0.92516,             0.00057735,             0.00057735,             0.00057735
                     95,                  1.173,                 1.0168,                 1.1911,                0.68056,                0.44231,                0.53992,                0.33448,                 1.3669,                0.78122,                0.92516,              0.0005746,              0.0005746,              0.0005746
                     96,                 1.0873,                 1.0261,                0.95193,                0.92739,                0.44231,                0.52176,                0.31879,                 1.4027,                0.86879,                0.93954,             0.00057185,             0.00057185,             0.00057185
                     97,                0.98449,                0.88321,                 1.1799,                0.92739,                0.44231,                0.52176,                0.31879,                 1.4027,                0.86879,                0.93954,             0.00056911,             0.00056911,             0.00056911
                     98,                 1.1066,                 1.5056,                 1.0992,                0.93299,                0.42949,                0.49693,                0.30474,                 1.3299,                0.90995,                 0.9212,             0.00056636,             0.00056636,             0.00056636
                     99,                0.94506,                0.86554,                0.98746,                0.93299,                0.42949,                0.49693,                0.30474,                 1.3299,                0.90995,                 0.9212,             0.00056361,             0.00056361,             0.00056361
                    100,                0.91803,                0.87228,                 1.0339,                0.93354,                0.41667,                0.47565,                0.29094,                 1.3304,                0.93208,                0.91154,             0.00056086,             0.00056086,             0.00056086
                    101,                 1.1026,                 1.0053,                 1.2793,                0.93354,                0.41667,                0.47565,                0.29094,                 1.3304,                0.93208,                0.91154,             0.00055811,             0.00055811,             0.00055811
                    102,                 1.3656,                 1.2531,                 1.1368,                0.92338,                0.43516,                 0.4773,                0.29326,                 1.3436,                0.89665,                0.91367,             0.00055536,             0.00055536,             0.00055536
                    103,                 1.0252,                0.84722,                 1.1288,                0.92338,                0.43516,                 0.4773,                0.29326,                 1.3436,                0.89665,                0.91367,             0.00055261,             0.00055261,             0.00055261
                    104,                0.93255,                0.86698,                 1.0226,                0.94316,                0.44189,                0.49142,                0.31167,                  1.353,                0.85514,                0.92004,             0.00054986,             0.00054986,             0.00054986
                    105,                  0.887,                0.79173,                 1.0707,                0.94316,                0.44189,                0.49142,                0.31167,                  1.353,                0.85514,                0.92004,             0.00054711,             0.00054711,             0.00054711
                    106,                 1.0704,                 1.5604,                 1.2777,                0.93971,                0.42934,                0.49416,                0.30697,                 1.3937,                0.87687,                0.93139,             0.00054437,             0.00054437,             0.00054437
                    107,                  1.032,                0.80844,                 1.0812,                0.93971,                0.42934,                0.49416,                0.30697,                 1.3937,                0.87687,                0.93139,             0.00054162,             0.00054162,             0.00054162
                    108,                 1.1182,                 1.1139,                 1.3107,                 0.9413,                0.42308,                0.49342,                0.30668,                 1.3554,                0.86677,                0.92025,             0.00053887,             0.00053887,             0.00053887
                    109,                0.95036,                0.82767,                0.94144,                 0.9413,                0.42308,                0.49342,                0.30668,                 1.3554,                0.86677,                0.92025,             0.00053612,             0.00053612,             0.00053612
                    110,                 1.0533,                0.84367,                0.96473,                0.95274,                0.39103,                0.46769,                0.29088,                 1.3574,                0.95089,                 0.9174,             0.00053337,             0.00053337,             0.00053337
                    111,                 1.1105,                 1.0906,                  1.023,                0.95274,                0.39103,                0.46769,                0.29088,                 1.3574,                0.95089,                 0.9174,             0.00053062,             0.00053062,             0.00053062
                    112,                 1.0726,                0.85009,                 1.1738,                0.95488,                0.38508,                 0.4691,                0.28269,                 1.5035,                0.99692,                0.95491,             0.00052787,             0.00052787,             0.00052787
                    113,                0.98399,                0.81443,                  1.033,                0.95488,                0.38508,                 0.4691,                0.28269,                 1.5035,                0.99692,                0.95491,             0.00052512,             0.00052512,             0.00052512
                    114,                 1.1297,                  1.076,                 1.0364,                0.96316,                0.39093,                0.47038,                0.28891,                 1.4448,                 1.0494,                0.95064,             0.00052237,             0.00052237,             0.00052237
                    115,                 1.0072,                0.81914,                 0.9032,                0.96316,                0.39093,                0.47038,                0.28891,                 1.4448,                 1.0494,                0.95064,             0.00051963,             0.00051963,             0.00051963
                    116,                 1.1614,                 0.8986,                0.97218,                0.95104,                0.38367,                0.48836,                0.31298,                 1.3196,                0.98818,                0.91192,             0.00051688,             0.00051688,             0.00051688
                    117,                 1.1208,                 1.0151,                  1.486,                0.95104,                0.38367,                0.48836,                0.31298,                 1.3196,                0.98818,                0.91192,             0.00051413,             0.00051413,             0.00051413
                    118,                0.88185,                0.68999,                0.97233,                0.89886,                0.40385,                 0.4955,                0.31077,                 1.2951,                0.96204,                0.90181,             0.00051138,             0.00051138,             0.00051138
                    119,                0.91686,                0.79436,                 1.0701,                0.89886,                0.40385,                 0.4955,                0.31077,                 1.2951,                0.96204,                0.90181,             0.00050863,             0.00050863,             0.00050863
                    120,                 1.0667,                0.86938,                0.90692,                0.62978,                0.44271,                0.48961,                0.31183,                 1.2787,                0.97968,                0.90068,             0.00050588,             0.00050588,             0.00050588
                    121,                 1.0362,                0.94397,                0.98867,                0.62978,                0.44271,                0.48961,                0.31183,                 1.2787,                0.97968,                0.90068,             0.00050313,             0.00050313,             0.00050313
                    122,                 1.0287,                0.96551,                 1.0076,                0.88608,                0.42308,                0.48688,                0.30216,                 1.3877,                 0.9648,                 0.9352,             0.00050038,             0.00050038,             0.00050038
                    123,                0.97392,                 1.1645,                 1.3286,                0.88608,                0.42308,                0.48688,                0.30216,                 1.3877,                 0.9648,                 0.9352,             0.00049763,             0.00049763,             0.00049763
                    124,                  1.209,                 1.1991,                 1.1034,                0.91695,                0.43015,                0.50195,                  0.312,                 1.3892,                0.88712,                0.93496,             0.00049489,             0.00049489,             0.00049489
