                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0686,                 5.5683,                 1.1476,                0.00833,                    0.2,                0.02211,                0.00884,                 2.4327,                 5.1864,                 1.2447,                      0,                      0,                      0
                      2,                 2.2243,                  5.783,                 1.2095,                0.00909,                    0.2,                 0.0199,                0.00796,                 2.4272,                   5.04,                 1.2355,             8.2475e-06,             8.2475e-06,             8.2475e-06
                      3,                 2.1106,                 5.6355,                   1.13,                0.00909,                    0.2,                 0.0199,                0.00796,                 2.3902,                 4.8148,                 1.2112,              1.633e-05,              1.633e-05,              1.633e-05
                      4,                 2.2333,                  5.368,                 1.2094,                0.00952,                    0.2,                0.01809,                0.00724,                 2.2987,                 4.5926,                 1.1853,             2.4248e-05,             2.4248e-05,             2.4248e-05
                      5,                 1.8455,                 4.5806,                 1.0852,                0.01639,                0.23333,                0.02186,                0.00762,                 2.2183,                 4.3802,                 1.1405,             3.2001e-05,             3.2001e-05,             3.2001e-05
                      6,                 2.0812,                 4.1765,                 1.0946,                0.23242,                0.03333,                0.03368,                0.01548,                 2.1432,                  4.246,                 1.0918,             3.9588e-05,             3.9588e-05,             3.9588e-05
                      7,                  1.925,                 3.6696,                 1.0696,                0.25516,                0.06667,                0.03603,                 0.0203,                 2.0235,                 4.1145,                 1.0651,             4.7011e-05,             4.7011e-05,             4.7011e-05
                      8,                 1.8023,                 3.0786,                0.99934,                0.89995,                0.06662,                0.06821,                0.03664,                 1.9099,                 4.0516,                 1.0424,             5.4269e-05,             5.4269e-05,             5.4269e-05
                      9,                 1.8295,                 2.8426,                 1.0224,                0.86994,                    0.1,                 0.1453,                0.07857,                 1.8612,                 3.9994,                 1.0177,             6.1362e-05,             6.1362e-05,             6.1362e-05
                     10,                 1.7497,                   2.63,                 1.0005,                 0.1039,                0.24667,                0.17293,                0.07749,                 1.8404,                 4.0298,                0.99819,              6.829e-05,              6.829e-05,              6.829e-05
                     11,                  1.822,                  2.849,                 1.0365,                0.10695,                0.24095,                0.16699,                0.06776,                 1.8658,                 4.0951,                0.97494,             7.5053e-05,             7.5053e-05,             7.5053e-05
                     12,                 1.8572,                 2.9308,                  1.045,                0.72779,                0.24143,                0.16931,                0.06464,                  1.899,                  4.301,                0.97673,             8.1651e-05,             8.1651e-05,             8.1651e-05
                     13,                 1.6474,                  1.877,                0.95412,                0.72682,                0.22887,                0.15386,                0.05787,                 1.9601,                 4.7564,                 1.0012,             8.8085e-05,             8.8085e-05,             8.8085e-05
                     14,                 1.7575,                 2.1098,                0.98505,                0.49622,                0.26476,                0.11126,                0.04654,                 2.0243,                   5.36,                 1.0129,             9.4353e-05,             9.4353e-05,             9.4353e-05
                     15,                   1.83,                 1.9061,                0.97267,                0.48956,                0.26081,                0.10764,                0.04128,                 2.1326,                 5.8195,                 1.0397,             0.00010046,             0.00010046,             0.00010046
                     16,                 1.6719,                 1.7772,                 0.9441,                0.29089,                0.27666,                0.10306,                0.04438,                 2.1719,                 5.7429,                 1.0539,             0.00010639,             0.00010639,             0.00010639
                     17,                 1.7859,                 1.9183,                0.97558,                0.50666,                 0.2419,                0.13606,                0.06012,                 2.1325,                 5.3806,                 1.0434,             0.00011217,             0.00011217,             0.00011217
                     18,                 1.7697,                 1.8588,                0.96292,                0.50666,                 0.2419,                0.13606,                0.06012,                 2.1325,                 5.3806,                 1.0434,             0.00011778,             0.00011778,             0.00011778
                     19,                 1.5768,                 1.5236,                0.92366,                0.79274,                0.22476,                0.19168,                0.09103,                 2.0145,                 4.5179,                 1.0052,             0.00012322,             0.00012322,             0.00012322
                     20,                 1.4668,                 1.2897,                0.89272,                0.79274,                0.22476,                0.19168,                0.09103,                 2.0145,                 4.5179,                 1.0052,              0.0001285,              0.0001285,              0.0001285
                     21,                 1.6519,                 1.4759,                0.93799,                0.80072,                0.21333,                0.26325,                0.13427,                 1.8996,                 3.8916,                 0.9698,             0.00013361,             0.00013361,             0.00013361
                     22,                 1.5707,                 1.4367,                0.90331,                0.80072,                0.21333,                0.26325,                0.13427,                 1.8996,                 3.8916,                 0.9698,             0.00013856,             0.00013856,             0.00013856
                     23,                 1.4539,                 1.3064,                0.90382,                0.81656,                0.26381,                 0.3442,                0.18084,                 1.7776,                 3.4381,                0.92481,             0.00014335,             0.00014335,             0.00014335
                     24,                 1.5229,                 1.2699,                0.89801,                0.81656,                0.26381,                 0.3442,                0.18084,                 1.7776,                 3.4381,                0.92481,             0.00014796,             0.00014796,             0.00014796
                     25,                 1.5157,                 1.4579,                0.91038,                0.41528,                 0.4942,                0.37104,                0.20077,                 1.7293,                 3.2034,                0.90663,             0.00015242,             0.00015242,             0.00015242
