                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2936,                 6.0169,                 1.6586,                0.02222,                0.33333,                0.02124,                 0.0091,                 1.9868,                 5.3361,                 1.1592,                      0,                      0,                      0
                      2,                 2.2045,                 5.5591,                 1.5725,                0.02703,                0.33333,                0.02252,                0.01138,                 1.9746,                 5.2195,                 1.1484,             8.3025e-06,             8.3025e-06,             8.3025e-06
                      3,                 2.6121,                 5.5652,                 2.1829,                0.01852,                0.16667,                0.01412,                0.01129,                  1.941,                 5.0348,                 1.1402,              1.655e-05,              1.655e-05,              1.655e-05
                      4,                 2.2547,                 5.0901,                 1.6845,                0.02083,                0.16667,                0.01528,                0.01223,                 1.8968,                 4.8493,                 1.1138,             2.4743e-05,             2.4743e-05,             2.4743e-05
                      5,                 2.0186,                 5.0222,                 1.4068,                0.02941,                0.16667,                0.03368,                0.02695,                 1.8556,                 4.7111,                 1.1009,              3.288e-05,              3.288e-05,              3.288e-05
                      6,                 2.3314,                 4.6064,                 1.6904,                0.05556,                0.16667,                0.05192,                0.04154,                 1.7487,                 4.6324,                 1.0707,             4.0963e-05,             4.0963e-05,             4.0963e-05
                      7,                 2.0719,                 4.1897,                 1.4464,                0.07143,                0.16667,                0.10744,                0.08595,                 1.6775,                 4.5738,                 1.0727,              4.899e-05,              4.899e-05,              4.899e-05
                      8,                 1.9829,                 3.5881,                 1.5503,                0.15619,                0.16667,                0.25766,                0.21241,                 1.7006,                 4.6921,                 1.0469,             5.6963e-05,             5.6963e-05,             5.6963e-05
                      9,                 1.9511,                 3.5119,                  1.436,                0.25074,                0.36275,                0.33183,                0.23174,                 1.6861,                 4.8158,                 1.0209,             6.4881e-05,             6.4881e-05,             6.4881e-05
                     10,                 2.2057,                 3.4122,                 1.7983,                0.49795,                0.36275,                0.46671,                0.28644,                 1.6293,                 5.0514,                 1.0178,             7.2743e-05,             7.2743e-05,             7.2743e-05
                     11,                 1.7129,                 2.5749,                 1.0873,                0.36858,                0.53922,                0.43368,                0.20727,                 1.6145,                  5.302,                 1.0121,             8.0551e-05,             8.0551e-05,             8.0551e-05
                     12,                 1.8726,                 2.8133,                 1.4598,                0.41261,                0.69122,                0.45401,                0.24083,                 1.5634,                 6.1164,                0.98701,             8.8304e-05,             8.8304e-05,             8.8304e-05
                     13,                 1.7112,                 2.0027,                 1.2502,                0.37598,                0.81022,                 0.4614,                0.24624,                 1.5134,                 7.3722,                0.97382,             9.6002e-05,             9.6002e-05,             9.6002e-05
                     14,                 1.9246,                  2.638,                 1.4539,                0.58843,                0.54902,                0.41942,                0.24054,                 1.4802,                 9.5362,                0.96887,             0.00010364,             0.00010364,             0.00010364
                     15,                 1.9516,                 2.3772,                 1.2506,                0.57443,                0.57843,                0.42524,                0.23879,                 1.4962,                 11.047,                0.96489,             0.00011123,             0.00011123,             0.00011123
                     16,                 1.7388,                 2.1723,                 1.1014,                0.59065,                0.57843,                0.41811,                0.25141,                 1.5395,                 9.9983,                0.96779,             0.00011876,             0.00011876,             0.00011876
